,Date,Offline Spend,Online Spend,Revenue,Total Spending
216,2017-08-05,1500,2016.04,5220.83,3516.04
217,2017-08-06,3000,1143.02,3790.759999999998,4143.02
218,2017-08-07,3000,1946.56,10963.219999999998,4946.5599999999995
219,2017-08-08,3000,1486.8,12926.789999999999,4486.8
220,2017-08-09,3000,2285.79,11168.23,5285.79
221,2017-08-10,3000,1662.28,10735.949999999999,4662.28
222,2017-08-11,3000,2563.83,9359.369999999997,5563.83
223,2017-08-12,3000,1890.41,5691.97,4890.41
224,2017-08-13,3500,1846.18,2983.24,5346.18
225,2017-08-14,3500,1984.92,14892.7,5484.92
226,2017-08-15,3500,1122.49,7780.519999999998,4622.49
227,2017-08-16,3500,1692.8,12268.809999999998,5192.8
228,2017-08-17,3500,3352.38,8412.11,6852.38
229,2017-08-18,3500,1696.64,8934.489999999996,5196.64
230,2017-08-19,3500,2574.56,7980.45,6074.5599999999995
231,2017-08-20,2500,1480.23,1875.38,3980.23
232,2017-08-21,2500,1528.1,7574.59,4028.1
233,2017-08-22,2500,1172.96,10959.639999999998,3672.96
234,2017-08-23,2500,1901.56,22038.410000000007,4401.5599999999995
235,2017-08-24,2500,2168.34,7431.959999999996,4668.34
236,2017-08-25,2500,1941.38,9984.789999999995,4441.38
237,2017-08-26,2500,1094.77,3737.0799999999995,3594.77
238,2017-08-27,3000,2117.28,7635.529999999998,5117.280000000001
239,2017-08-28,3000,2178.57,8527.130000000001,5178.57
240,2017-08-29,3000,1056.67,10407.99,4056.67
241,2017-08-30,3000,2223.08,12719.159999999996,5223.08
242,2017-08-31,3000,1296.81,9424.129999999996,4296.8099999999995
243,2017-09-01,3000,2424.97,15355.099999999997,5424.969999999999
244,2017-09-02,3000,1307.62,3010.439999999999,4307.62
245,2017-09-03,2500,2006.42,3734.2000000000007,4506.42
246,2017-09-04,2500,1255.01,3828.6400000000003,3755.01
247,2017-09-05,2500,1201.09,5040.619999999998,3701.09
248,2017-09-06,2500,1292.58,9777.279999999997,3792.58
249,2017-09-07,2500,2504.83,12362.08,5004.83
250,2017-09-08,2500,1362.1,4140.12,3862.1
251,2017-09-09,2500,1749.21,6400.2,4249.21
252,2017-09-10,3000,2441.62,6185.949999999999,5441.62
253,2017-09-11,3000,1683.99,9752.26,4683.99
254,2017-09-12,3000,1117.36,10400.600000000002,4117.36
255,2017-09-13,3000,1079.34,22219.739999999998,4079.34
256,2017-09-14,3000,1408.06,5992.53,4408.0599999999995
257,2017-09-15,3000,2546.67,11616.750000000002,5546.67
258,2017-09-16,3000,1514.85,4721.559999999999,4514.85
259,2017-09-17,2500,2787.02,3345.4999999999995,5287.02
260,2017-09-18,2500,2297.87,7419.9400000000005,4797.87
261,2017-09-19,2500,1072.89,6461.84,3572.8900000000003
262,2017-09-20,2500,1497.56,8337.48,3997.56
263,2017-09-21,2500,1098.2,5452.739999999998,3598.2
264,2017-09-22,2500,1895.73,9040.239999999998,4395.73
265,2017-09-23,2500,2908.1,8044.069999999998,5408.1
266,2017-09-24,3000,1310.85,8193.63,4310.85
267,2017-09-25,3000,1736.19,14016.470000000003,4736.1900000000005
268,2017-09-26,3000,767.58,10049.989999999998,3767.58
269,2017-09-27,3000,1660.74,18483.27,4660.74
270,2017-09-28,3000,1394.83,10461.619999999997,4394.83
271,2017-09-29,3000,3713.1,7580.519999999998,6713.1
272,2017-09-30,3000,1478.16,7423.510000000001,4478.16
273,2017-10-01,3000,1991.44,7275.4400000000005,4991.4400000000005
274,2017-10-02,3000,899.05,7656.639999999999,3899.05
275,2017-10-03,3000,2015.98,12601.430000000004,5015.98
276,2017-10-04,3000,2411.39,14701.219999999998,5411.389999999999
277,2017-10-05,3000,1511.94,6704.129999999999,4511.9400000000005
278,2017-10-06,3000,2230.76,8967.11,5230.76
279,2017-10-07,3000,2154.78,6253.549999999998,5154.780000000001
280,2017-10-08,3500,1799.54,5329.799999999999,5299.54
281,2017-10-09,3500,734.31,11883.460000000001,4234.3099999999995
282,2017-10-10,3500,3705.5,10256.089999999998,7205.5
283,2017-10-11,3500,1450.93,10846.230000000003,4950.93
284,2017-10-12,3500,2839.32,10185.999999999998,6339.32
285,2017-10-13,3500,1353.34,9536.070000000002,4853.34
286,2017-10-14,3500,2114.35,6217.37,5614.35
287,2017-10-15,2500,1317.89,6224.33,3817.8900000000003
288,2017-10-16,2500,1218.6,11038.630000000001,3718.6
289,2017-10-17,2500,1783.56,13324.129999999996,4283.5599999999995
290,2017-10-18,2500,1150.51,6570.289999999999,3650.51
291,2017-10-19,2500,1631.19,9539.26,4131.1900000000005
292,2017-10-20,2500,2827.25,9063.66,5327.25
293,2017-10-21,2500,2848.39,7571.830000000001,5348.389999999999
294,2017-10-22,3500,1900.77,6683.33,5400.77
295,2017-10-23,3500,1153.81,8948.920000000002,4653.8099999999995
296,2017-10-24,3500,2330.24,12317.629999999997,5830.24
297,2017-10-25,3500,1416.14,5656.54,4916.14
298,2017-10-26,3500,2374.99,8515.9,5874.99
299,2017-10-27,3500,3271.55,10449.08,6771.55
300,2017-10-28,3500,1691.02,7576.389999999998,5191.02
301,2017-10-29,2000,1564.09,5336.16,3564.09
302,2017-10-30,2000,780.15,12795.279999999997,2780.15
303,2017-10-31,2000,1251.87,8918.159999999998,3251.87
304,2017-11-01,2000,1224.01,12979.539999999999,3224.01
305,2017-11-02,2000,2437.58,7328.259999999999,4437.58
306,2017-11-03,2000,2294.09,11352.349999999999,4294.09
307,2017-11-04,2000,2478.79,4725.12,4478.79
308,2017-11-05,3500,2019.94,6081.55,5519.9400000000005
309,2017-11-06,3500,2546.6,12859.1,6046.6
310,2017-11-07,3500,1252.63,11141.679999999997,4752.63
